@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
155,141,9,54,146,0.27,0.94,0.723077,0.94,0.276923,0.817391,0.557143,1.687179,0.185007
156,141,9,53,147,0.265,0.94,0.726804,0.94,0.273196,0.819767,0.554286,1.695876,0.186073
157,141,9,52,148,0.26,0.94,0.73057,0.94,0.26943,0.822157,0.551429,1.704663,0.214471
158,141,9,51,149,0.255,0.94,0.734375,0.94,0.265625,0.824561,0.548571,1.713542,0.223799
159,141,9,50,150,0.25,0.94,0.73822,0.94,0.26178,0.826979,0.545714,1.722513,0.227689
160,141,9,49,151,0.245,0.94,0.742105,0.94,0.257895,0.829412,0.542857,1.731579,0.229839
161,141,9,48,152,0.24,0.94,0.746032,0.94,0.253968,0.831858,0.54,1.740741,0.230601
162,141,9,47,153,0.235,0.94,0.75,0.94,0.25,0.83432,0.537143,1.75,0.236255
163,141,9,46,154,0.23,0.94,0.754011,0.94,0.245989,0.836795,0.534286,1.759358,0.242231
164,140,10,46,154,0.23,0.933333,0.752688,0.933333,0.247312,0.833333,0.531429,1.756272,0.258444
165,139,11,46,154,0.23,0.926667,0.751351,0.926667,0.248649,0.829851,0.528571,1.753153,0.259831
166,138,12,46,154,0.23,0.92,0.75,0.92,0.25,0.826347,0.525714,1.75,0.263391
167,138,12,45,155,0.225,0.92,0.754098,0.92,0.245902,0.828829,0.522857,1.759563,0.263415
168,138,12,44,156,0.22,0.92,0.758242,0.92,0.241758,0.831325,0.52,1.769231,0.263889
169,138,12,43,157,0.215,0.92,0.762431,0.92,0.237569,0.833837,0.517143,1.779006,0.270189
170,138,12,42,158,0.21,0.92,0.766667,0.92,0.233333,0.836364,0.514286,1.788889,0.273613
171,138,12,41,159,0.205,0.92,0.77095,0.92,0.22905,0.838906,0.511429,1.798883,0.273993
172,138,12,40,160,0.2,0.92,0.775281,0.92,0.224719,0.841463,0.508571,1.808989,0.277117
173,137,13,40,160,0.2,0.913333,0.774011,0.913333,0.225989,0.83792,0.505714,1.806026,0.280723
174,137,13,39,161,0.195,0.913333,0.778409,0.913333,0.221591,0.840491,0.502857,1.816288,0.298746
175,137,13,38,162,0.19,0.913333,0.782857,0.913333,0.217143,0.843077,0.5,1.826667,0.303593
176,137,13,37,163,0.185,0.913333,0.787356,0.913333,0.212644,0.845679,0.497143,1.837165,0.304137
177,137,13,36,164,0.18,0.913333,0.791908,0.913333,0.208092,0.848297,0.494286,1.847784,0.304662
